date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:04	898/898	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/svgicon/tw.svg	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/svgicon/tw.svg	(from https://e-wallet360.com/)
16:47:09	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:47:03%20GMT	https://e-wallet360.com/linkedin	C:/Users/Public/e%20walllet/e-wallet360.com/linkedin.26.delayed	(from https://e-wallet360.com/)
16:47:14	710/710	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/svgicon/in.svg	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/svgicon/in.svg	(from https://e-wallet360.com/)
16:47:19	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:47:14%20GMT	https://e-wallet360.com/youtube	C:/Users/Public/e%20walllet/e-wallet360.com/youtube.28.delayed	(from https://e-wallet360.com/)
16:47:26	744/744	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/svgicon/yo.svg	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/svgicon/yo.svg	(from https://e-wallet360.com/)
16:47:32	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043fc-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/Users/Public/e%20walllet/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://e-wallet360.com/)
16:47:41	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Users/Public/e%20walllet/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://e-wallet360.com/)
16:47:43	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/Public/e%20walllet/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://e-wallet360.com/)
16:47:48	113325/113325	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cfa94c9-1baad%22	https://cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/8.11.8/sweetalert2.all.js	C:/Users/Public/e%20walllet/cdnjs.cloudflare.com/ajax/libs/limonte-sweetalert2/8.11.8/sweetalert2.all.js	(from https://e-wallet360.com/)
16:47:49	89992/89992	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4820-15f88%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	C:/Users/Public/e%20walllet/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.js	(from https://e-wallet360.com/)
